election_cycle,race_type,name_incumbent,name_challenger,name_third,us_state_fips,tipping,vpi,win_state_incumbent,win_state_challenger,win_state_third,win_ec_if_win_state_incumbent,win_ec_if_win_state_challenger,win_state_if_win_ec_incumbent,win_state_if_win_ec_challenger,voteshare_incumbent,voteshare_challenger,voteshare_third,voteshare_other,voteshare_lo_incumbent,voteshare_lo_challenger,voteshare_lo_third,voteshare_lo_other,voteshare_hi_incumbent,voteshare_hi_challenger,voteshare_hi_third,voteshare_hi_other,margin,margin_lo,margin_hi,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,10,0.0001,0.032272,0.003325,0.996675,,0.962406,0.7111145,0.0111927,0.9998237,38.77905,60.07055,,1.150403,34.2143,55.50844,,0.6165173,43.33633,64.63911,,1.751056,-21.29149,-30.3945,-12.19801,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,09,0.0008375,0.0716656,0.018425,0.981575,,0.9430122,0.7211115,0.060773,0.9985188,40.21279,58.83539,,0.9518158,34.74922,53.30482,,0.5125443,45.7197,64.30743,,1.444379,-18.6226,-29.57097,-7.598158,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,08,0.020225,0.982187,0.1405,0.8595,,0.866726,0.8035777,0.4259357,0.9743255,44.44319,53.64601,,1.910798,38.91715,48.10243,,1.01015,49.97958,59.16858,,2.933075,-9.202815,-20.205,1.840944,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,06,0.0016375,0.0161606,0.0028,0.9972,,0.6964286,0.7100381,0.0068206,0.9988362,33.92485,64.09917,,1.975976,28.26304,58.35956,,1.043611,39.67786,69.81178,,3.034986,-30.17432,-41.51831,-18.75575,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,05,0.000675,0.0808956,0.9358,0.0642,,0.3043118,0.9816978,0.9960651,0.0889085,56.70299,41.66558,,1.631423,50.48977,35.53059,,0.8662892,62.87199,47.88286,,2.497645,15.03741,2.629847,27.30075,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,04,0.06085,3.066483,0.3955,0.6045,,0.6195955,0.9277915,0.8571179,0.7911832,48.19583,50.43362,,1.370552,42.58863,44.81036,,0.7311959,53.80324,56.04305,,2.092108,-2.237783,-13.41453,8.987295,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,02,0.0022375,1.008548,0.806825,0.193175,,0.3452421,0.9594927,0.9742917,0.2614706,53.40068,44.33512,,2.264199,46.49981,37.50074,,1.191181,60.23473,51.23591,,3.485848,9.065553,-4.661007,22.68475,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,01,0.0003875,0.0265006,0.978775,0.021225,,0.2911548,0.9564193,0.9967646,0.0286369,59.99047,39.21957,,0.7899519,53.99821,33.32674,,0.4273439,65.8784,45.19382,,1.195086,20.7709,8.829554,32.5481,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,55,0.0879125,4.104074,0.254375,0.745625,,0.8706634,0.9080302,0.774659,0.9551049,46.9107,52.0862,,1.003104,41.79507,46.9552,,0.5394706,52.02852,57.20449,,1.523567,-5.175501,-15.36971,5.050699,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,27,0.065425,3.036783,0.233425,0.766575,,0.8522009,0.8810292,0.6957852,0.952742,46.49437,52.03228,,1.47335,41.51071,47.0816,,0.7845168,51.44257,57.00809,,2.251643,-5.537911,-15.45891,4.33729,1,2020-09-06,21:06:02  6 Sep 2020,40000
