date_modeled,date_start,date_end,poll_subject,pollster,poll_grade,poll_type,poll_weight,poll_influence,poll_multi_version,population,party,sample_size,pct_approve,pct_disapprove,pct_approve_adjusted,pct_disapprove_adjusted,timestamp,poll_url
2020-10-02,2020-10-02,2020-10-02,Trump,Morning Consult,B/C,,0.25021562,0.25021562,False,a,D,406.0,13.0,85.0,11.950645,88.429301,18:35:08  2 Oct 2020,https://morningconsult.com/form/reaction-poll-trump-covid/
2020-10-02,2020-10-02,2020-10-02,Trump,Morning Consult,B/C,,0.19845382,0.19845382,False,a,I,277.0,27.0,62.0,29.266811,64.230261,18:35:11  2 Oct 2020,https://morningconsult.com/form/reaction-poll-trump-covid/
2020-10-02,2020-10-02,2020-10-02,Trump,Morning Consult,B/C,,0.22383387,0.22383387,False,a,R,317.0,85.0,12.0,86.534523,11.605845,18:35:13  2 Oct 2020,https://morningconsult.com/form/reaction-poll-trump-covid/
2020-10-02,2020-10-02,2020-10-02,Trump,Morning Consult,B/C,,0.29133229,0.29133229,False,a,all,1000.0,39.0,56.0,39.869855,57.635007,18:35:17  2 Oct 2020,https://morningconsult.com/form/reaction-poll-trump-covid/
2020-10-02,2020-09-29,2020-10-01,Trump,Ipsos,B-,,0.46220032,0.42161545,False,a,all,1341.0,43.0,54.0,43.72296,53.718297,18:35:17  2 Oct 2020,https://fingfx.thomsonreuters.com/gfx/mkt/azgvoaekovd/Topline%20Reuters%20General%20Election%20Tracker%2010%2001%202020.pdf
2020-10-02,2020-09-27,2020-09-30,Trump,YouGov,B,,0.45577245,0.39571637,False,rv,D,552.0,7.0,91.0,5.7725793,93.292387,18:35:08  2 Oct 2020,https://docs.cdn.yougov.com/9k0tqsqgue/econTabReport.pdf
2020-10-02,2020-09-27,2020-09-30,Trump,YouGov,B,,0.44522193,0.38645013,False,rv,I,513.0,38.0,56.0,37.342679,61.059599,18:35:11  2 Oct 2020,https://docs.cdn.yougov.com/9k0tqsqgue/econTabReport.pdf
2020-10-02,2020-09-27,2020-09-30,Trump,YouGov,B,,0.42875762,0.37332045,False,rv,R,432.0,85.0,13.0,84.668581,13.952162,18:35:13  2 Oct 2020,https://docs.cdn.yougov.com/9k0tqsqgue/econTabReport.pdf
2020-10-02,2020-09-27,2020-09-30,Trump,YouGov,B,,0.60812949,0.52484803,False,rv,all,1500.0,41.0,56.0,41.318462,58.134124,18:35:17  2 Oct 2020,https://docs.cdn.yougov.com/9k0tqsqgue/econTabReport.pdf
2020-10-02,2020-09-25,2020-09-29,Trump,Ipsos,B-,,0.40264855,0.31557019,False,a,all,1341.0,41.0,56.0,41.72296,55.718297,18:35:17  2 Oct 2020,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/2020_reuters_tracking_-_core_political_general_election_tracker_09_30_2020.pdf
2020-10-02,2020-09-14,2020-09-28,Trump,Gallup,B,,0.53117934,0.30428269,False,a,D,276.0,8.0,92.0,8.2123851,90.968188,18:35:08  2 Oct 2020,https://news.gallup.com/poll/321347/trump-pre-debate-job-approval-highest-may.aspx
2020-10-02,2020-09-14,2020-09-28,Trump,Gallup,B,,0.75693261,0.43360402,False,a,I,428.0,39.0,61.0,36.626008,61.461728,18:35:11  2 Oct 2020,https://news.gallup.com/poll/321347/trump-pre-debate-job-approval-highest-may.aspx
2020-10-02,2020-09-14,2020-09-28,Trump,Gallup,B,,0.55521387,0.31805072,False,a,R,291.0,86.0,13.0,84.331419,13.959347,18:35:13  2 Oct 2020,https://news.gallup.com/poll/321347/trump-pre-debate-job-approval-highest-may.aspx
2020-10-02,2020-09-14,2020-09-28,Trump,Gallup,B,,1.3733656,0.78672373,False,a,all,1023.0,44.0,56.0,42.249394,56.261518,18:35:17  2 Oct 2020,https://news.gallup.com/poll/321347/trump-pre-debate-job-approval-highest-may.aspx
2020-10-02,2020-09-26,2020-09-28,Trump,Global Strategy Group/GBAO/Navigator Research,,,0.44687783,0.35090988,False,rv,all,1002.0,41.0,57.0,41.023797,56.14367,18:35:17  2 Oct 2020,https://navigatorresearch.org/wp-content/uploads/2020/10/Navigating-Coronavirus-Update-10.01.2020.pdf
2020-10-02,2020-09-21,2020-09-27,Trump,SurveyMonkey,D-,,0.32646712,0.2116825,False,a,D,22474.0,7.0,92.0,7.0564184,90.618957,18:35:08  2 Oct 2020,https://www.surveymonkey.com/curiosity/nbc-poll-covid-sept27/
2020-10-02,2020-09-25,2020-09-27,Trump,Morning Consult,B/C,,0.38395305,0.28266285,False,a,D,829.0,11.0,85.0,9.9506455,88.429301,18:35:08  2 Oct 2020,https://assets.morningconsult.com/wp-uploads/2020/09/28123730/2009107_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-10-02,2020-09-21,2020-09-27,Trump,SurveyMonkey,D-,,0.3089282,0.19996929,False,a,I,5954.0,33.0,64.0,32.972665,61.4574,18:35:11  2 Oct 2020,https://www.surveymonkey.com/curiosity/nbc-poll-covid-sept27/
2020-10-02,2020-09-25,2020-09-27,Trump,Morning Consult,B/C,,0.35933462,0.26480649,False,a,I,668.0,34.0,54.0,36.266811,56.230261,18:35:11  2 Oct 2020,https://assets.morningconsult.com/wp-uploads/2020/09/28123730/2009107_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-10-02,2020-09-21,2020-09-27,Trump,SurveyMonkey,D-,,0.32461007,0.21040569,False,a,R,18465.0,89.0,11.0,84.942482,13.675757,18:35:13  2 Oct 2020,https://www.surveymonkey.com/curiosity/nbc-poll-covid-sept27/
2020-10-02,2020-09-25,2020-09-27,Trump,Morning Consult,B/C,,0.37880089,0.27937642,False,a,R,704.0,79.0,18.0,80.534523,17.605845,18:35:13  2 Oct 2020,https://assets.morningconsult.com/wp-uploads/2020/09/28123730/2009107_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-10-02,2020-09-21,2020-09-27,Trump,SurveyMonkey,D-,,0.32564506,0.21100385,False,a,all,48241.0,44.0,53.0,40.843315,54.832211,18:35:17  2 Oct 2020,https://www.surveymonkey.com/curiosity/nbc-poll-covid-sept27/
2020-10-02,2020-09-25,2020-09-27,Trump,Morning Consult,B/C,,0.44755106,0.32729298,False,a,all,2200.0,39.0,55.0,39.869855,56.635007,18:35:17  2 Oct 2020,https://assets.morningconsult.com/wp-uploads/2020/09/28123730/2009107_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-10-02,2020-09-19,2020-09-25,Trump,Echelon Insights,,,0.81335573,0.49225569,False,lv,all,1018.0,41.0,56.0,41.329913,55.383269,18:35:17  2 Oct 2020,http://echeloninsights.com/wp-content/uploads/Omnibus_September-2020_Release1.pdf
2020-10-02,2020-09-22,2020-09-24,Trump,Ipsos,B-,,0.58642783,0.36986023,False,rv,D,566.0,13.0,88.0,13.120847,87.192394,18:35:08  2 Oct 2020,https://www.westfargopioneer.com/news/government-and-politics/6679370-Sept.-22-24-polling-shows-Trump-Biden-divide-as-challenger-maintains-lead
2020-10-02,2020-09-22,2020-09-24,Trump,Ipsos,B-,,0.54993616,0.34796804,False,rv,R,497.0,83.0,16.0,83.57725,15.066457,18:35:13  2 Oct 2020,https://www.westfargopioneer.com/news/government-and-politics/6679370-Sept.-22-24-polling-shows-Trump-Biden-divide-as-challenger-maintains-lead
2020-10-02,2020-09-21,2020-09-24,Trump,ABC News/The Washington Post,A+,,2.1312392,1.3853419,False,a,all,1008.0,40.0,58.0,39.356325,57.270234,18:35:17  2 Oct 2020,https://www.langerresearch.com/wp-content/uploads/1217a2The2020Election.pdf
2020-10-02,2020-09-22,2020-09-24,Trump,Ipsos,B-,,0.34822184,0.21340473,False,a,all,1297.0,42.0,53.0,42.72296,52.718297,18:35:17  2 Oct 2020,https://www.westfargopioneer.com/news/government-and-politics/6679370-Sept.-22-24-polling-shows-Trump-Biden-divide-as-challenger-maintains-lead
2020-10-02,2020-09-17,2020-09-23,Trump,UCLA Nationscape,,,0.49230994,0.23112172,False,a,D,2800.0,12.0,86.0,8.4084963,90.276155,18:35:08  2 Oct 2020,https://www.voterstudygroup.org/covid-19-updates
2020-10-02,2020-09-21,2020-09-23,Trump,YouGov,B,,0.31884575,0.18209881,False,rv,D,510.0,7.0,90.0,5.7725793,92.292387,18:35:08  2 Oct 2020,https://docs.cdn.yougov.com/o6p3vjhvnt/20200924_yahoo_coronavirus_tabs.pdf
2020-10-02,2020-09-17,2020-09-23,Trump,UCLA Nationscape,,,0.48347395,0.22750597,False,a,I,2300.0,28.0,58.0,33.007409,62.631026,18:35:11  2 Oct 2020,https://www.voterstudygroup.org/covid-19-updates
2020-10-02,2020-09-21,2020-09-23,Trump,YouGov,B,,0.2256756,0.12846942,False,rv,I,343.0,37.0,59.0,36.342679,64.059599,18:35:11  2 Oct 2020,https://docs.cdn.yougov.com/o6p3vjhvnt/20200924_yahoo_coronavirus_tabs.pdf
2020-10-02,2020-09-17,2020-09-23,Trump,UCLA Nationscape,,,0.48347395,0.22750597,False,a,R,2300.0,79.0,18.0,81.901651,15.722458,18:35:13  2 Oct 2020,https://www.voterstudygroup.org/covid-19-updates
2020-10-02,2020-09-21,2020-09-23,Trump,YouGov,B,,0.28231038,0.16249663,False,rv,R,358.0,85.0,11.0,84.668581,11.952162,18:35:13  2 Oct 2020,https://docs.cdn.yougov.com/o6p3vjhvnt/20200924_yahoo_coronavirus_tabs.pdf
