date_modeled,date_start,date_end,poll_subject,pollster,poll_grade,poll_type,poll_weight,poll_influence,poll_multi_version,population,party,sample_size,pct_approve,pct_disapprove,pct_approve_adjusted,pct_disapprove_adjusted,timestamp,poll_url
2020-12-02,2020-11-30,2020-12-01,Trump,Ipsos,B-,,0.93175721,0.93175721,False,a,all,1113.0,36.0,61.0,36.899078,60.651258,20:40:23  2 Dec 2020,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-12/2020_reuters_tracking_-_core_political_presidential_approval_tracker_12_02_2020.pdf
2020-12-02,2020-11-26,2020-11-29,Trump,Morning Consult,B/C,,0.47722018,0.47722018,False,a,D,814.0,10.0,85.0,8.9970237,88.217839,20:40:12  2 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/11/30105909/2011106_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-12-02,2020-11-26,2020-11-29,Trump,Morning Consult,B/C,,0.45963752,0.45963752,False,a,I,681.0,34.0,54.0,36.181677,56.446615,20:40:15  2 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/11/30105909/2011106_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-12-02,2020-11-26,2020-11-29,Trump,Morning Consult,B/C,,0.47284965,0.47284965,False,a,R,706.0,80.0,16.0,81.421261,15.570642,20:40:19  2 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/11/30105909/2011106_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-12-02,2020-11-26,2020-11-29,Trump,Morning Consult,B/C,,0.58552238,0.5160871,False,a,all,2200.0,40.0,53.0,40.799653,54.721456,20:40:23  2 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/11/30105909/2011106_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
2020-12-02,2020-11-29,2020-11-25,Trump,UCLA Nationscape,,,0.61944761,0.5961865,False,a,D,2800.0,15.0,83.0,10.890746,87.805072,20:40:12  2 Dec 2020,https://www.voterstudygroup.org/covid-19-updates
2020-12-02,2020-11-29,2020-11-25,Trump,UCLA Nationscape,,,0.60524212,0.58256016,False,a,I,2300.0,26.0,56.0,31.44439,60.66517,20:40:15  2 Dec 2020,https://www.voterstudygroup.org/covid-19-updates
2020-12-02,2020-11-29,2020-11-25,Trump,UCLA Nationscape,,,0.60524212,0.58256016,False,a,R,2300.0,77.0,22.0,80.29538,19.282531,20:40:19  2 Dec 2020,https://www.voterstudygroup.org/covid-19-updates
2020-12-02,2020-11-29,2020-11-25,Trump,UCLA Nationscape,,,0.66668605,0.55920166,False,a,all,8000.0,39.0,56.0,38.643227,58.130532,20:40:23  2 Dec 2020,https://www.voterstudygroup.org/covid-19-updates
2020-12-02,2020-11-21,2020-11-24,Trump,YouGov,B,,0.66227445,0.5420314,False,rv,D,634.0,8.0,91.0,6.8458391,93.059615,20:40:12  2 Dec 2020,https://docs.cdn.yougov.com/jy5um9f1tw/econTabReport.pdf
2020-12-02,2020-11-21,2020-11-24,Trump,YouGov,B,,0.5732466,0.47058379,False,rv,I,481.0,45.0,51.0,43.561104,56.024663,20:40:15  2 Dec 2020,https://docs.cdn.yougov.com/jy5um9f1tw/econTabReport.pdf
2020-12-02,2020-11-21,2020-11-24,Trump,YouGov,B,,0.47617882,0.39040538,False,rv,R,378.0,86.0,12.0,85.279248,13.241829,20:40:19  2 Dec 2020,https://docs.cdn.yougov.com/jy5um9f1tw/econTabReport.pdf
2020-12-02,2020-11-21,2020-11-24,Trump,YouGov,B,,0.89191553,0.60942275,False,rv,all,1500.0,42.0,56.0,41.920458,58.131477,20:40:23  2 Dec 2020,https://docs.cdn.yougov.com/jy5um9f1tw/econTabReport.pdf
2020-12-02,2020-11-19,2020-11-23,Trump,Morning Consult,B/C,,0.39617836,0.29580355,False,a,D,841.0,7.0,90.0,5.9970237,93.217839,20:40:12  2 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/11/24152942/201193_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM-1.pdf
2020-12-02,2020-11-19,2020-11-23,Trump,Morning Consult,B/C,,0.38526022,0.2887215,False,a,I,694.0,32.0,56.0,34.181677,58.446615,20:40:15  2 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/11/24152942/201193_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM-1.pdf
2020-12-02,2020-11-19,2020-11-23,Trump,Morning Consult,B/C,,0.36562376,0.27309706,False,a,R,665.0,84.0,14.0,85.421261,13.570642,20:40:19  2 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/11/24152942/201193_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM-1.pdf
2020-12-02,2020-11-19,2020-11-23,Trump,Morning Consult,B/C,,0.46010116,0.28050365,False,a,all,2200.0,38.0,56.0,38.799653,57.721456,20:40:23  2 Dec 2020,https://assets.morningconsult.com/wp-uploads/2020/11/24152942/201193_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM-1.pdf
2020-12-02,2020-11-17,2020-11-20,Trump,American Research Group,B,,0.64019989,0.44352122,False,a,D,360.0,2.0,93.0,4.112015,92.688769,20:40:12  2 Dec 2020,https://americanresearchgroup.com/economy/
2020-12-02,2020-11-17,2020-11-20,Trump,American Research Group,B,,0.60072688,0.41608502,False,a,I,333.0,33.0,60.0,33.380132,60.447045,20:40:15  2 Dec 2020,https://americanresearchgroup.com/economy/
2020-12-02,2020-11-17,2020-11-20,Trump,American Research Group,B,,0.55423854,0.3843221,False,a,R,299.0,85.0,11.0,85.329681,12.026813,20:40:19  2 Dec 2020,https://americanresearchgroup.com/economy/
2020-12-02,2020-11-16,2020-11-20,Trump,Echelon Insights,,,0.79081553,0.41677682,False,lv,all,1001.0,40.0,57.0,40.1469,56.498715,20:40:23  2 Dec 2020,https://echeloninsights.com/in-the-news/november-omnibus-covid-19/
2020-12-02,2020-11-17,2020-11-20,Trump,American Research Group,B,,1.3425162,0.7601252,False,a,all,1100.0,37.0,57.0,39.447848,56.165352,20:40:23  2 Dec 2020,https://americanresearchgroup.com/economy/
2020-12-02,2020-11-17,2020-11-19,Trump,Harris Insights & Analytics,C,,0.84159696,0.55232771,False,rv,D,816.0,16.0,84.0,10.458549,88.255373,20:40:12  2 Dec 2020,https://harvardharrispoll.com/wp-content/uploads/2020/11/HHP_November2020_Crosstabs_RV.pdf
2020-12-02,2020-11-17,2020-11-19,Trump,Harris Insights & Analytics,C,,0.6844866,0.44937161,False,rv,I,546.0,44.0,56.0,40.411043,55.52739,20:40:15  2 Dec 2020,https://harvardharrispoll.com/wp-content/uploads/2020/11/HHP_November2020_Crosstabs_RV.pdf
