election_cycle,race_type,name_incumbent,name_challenger,name_third,indicator_name,indicator_category,zscore_current,zscore_projected,zscore_projected_lo,zscore_projected_hi,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,S&P 500,0,0.6949242,0.609189,1.248212,-0.0298337,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.442956,-0.8039338,-2.081979,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-1.62591,-1.191828,-0.5528057,-1.830851,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.740514,-2.101492,-3.379537,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6025671,0.6674225,1.306445,0.0283998,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.75,3.389023,2.110978,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.4460809,-0.2247812,0.2270761,-0.6766384,1,2020-09-19,19:00:04 19 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.6949242,0.6071981,1.251617,-0.0372204,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.431318,-0.7868999,-2.075737,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-1.62591,-1.182447,-0.5380287,-1.826866,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.728775,-2.084357,-3.373194,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6025671,0.6688516,1.31327,0.024433,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.746223,3.390642,2.101805,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.4460809,-0.2200446,0.2356281,-0.6757174,1,2020-09-18,19:20:04 18 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.7786006,0.6868388,1.336591,0.0370871,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.409237,-0.7594857,-2.058989,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-1.62591,-1.16137,-0.5116181,-1.811121,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.710759,-2.061007,-3.360511,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6025671,0.6702806,1.320032,0.0205289,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.743813,3.393564,2.094061,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.4321348,-0.196739,0.2627048,-0.6561828,1,2020-09-17,19:00:03 17 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.8424696,0.7471771,1.402334,0.0920204,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.389269,-0.7341128,-2.044426,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-1.62591,-1.142632,-0.4874756,-1.797789,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.693994,-2.038838,-3.349151,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6025671,0.6717096,1.326866,0.0165529,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.741136,3.396292,2.085979,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.42149,-0.1776456,0.2856202,-0.6409113,1,2020-09-16,23:12:03 16 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.8792177,0.7811658,1.441753,0.1205781,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.372494,-0.711906,-2.033081,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-1.62591,-1.127456,-0.4668683,-1.788044,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.679139,-2.018551,-3.339726,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6025671,0.6731386,1.333726,0.012551,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.738046,3.398633,2.077458,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.4153653,-0.1644564,0.3026496,-0.6315624,1,2020-09-15,23:33:03 15 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.8476182,0.7488744,1.415811,0.0819374,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.364493,-0.6975566,-2.03143,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.598708,-0.931771,-2.265645,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.669574,-2.002638,-3.336511,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7161678,1.383105,0.0492309,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.733798,3.400735,2.066861,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.4852988,-0.2389892,0.2326064,-0.7105849,1,2020-09-14,23:33:03 14 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.7613009,0.6637105,1.335983,-0.0085623,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.363924,-0.6916515,-2.036197,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.602451,-0.9301785,-2.274724,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.664512,-1.99224,-3.336785,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7176017,1.389874,0.0453289,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.728559,3.400832,2.056287,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.499685,-0.2535028,0.2218659,-0.7288714,1,2020-09-13,19:00:03 13 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.7613009,0.6616845,1.33936,-0.0159914,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.352125,-0.6744494,-2.029801,1,2020-09-12,19:00:04 12 Sep 2020,40000
